Dataset_name,No_Nodes,No_Edges,Average_Degree,Graph_Density,Graph_Transitivity
musae-Twitch-PTBR,1912,31299,32.73953975,0.008561595,0.130980962
Gemsec-Facebook-Tv shows,3892,17262,8.870503597,0.001139582,0.590643566
Ego-Facebook,4039,88233,43.69051745,0.005408581,0.519189302
musae-Twitch-RU,4385,37304,17.01436716,0.001940065,0.048648019
musae-Twitch-ES,4648,59382,25.55163511,0.00274867,0.084234875
Gemsec-Facebook-Politician,5908,41729,14.12626947,0.00119552,0.301073736
musae-Twitch-FR,6549,112666,34.40708505,0.002626896,0.054128273
Gemsec-Facebook-Government,7057,89455,25.35213263,0.00179624,0.223768822
musae-Twitch-ENGB,7126,35324,9.914117317,0.00069563,0.042433249
Feather-lastfm,7624,27806,7.294333683,0.00047838,0.178622548
musae-Twitch-DE,9498,153138,32.24636766,0.001697535,0.046470889
p2p-Gnutella04,10876,39994,7.354542111,0.000338109,0.005402029
Gemsec-Facebook-Public figure,11565,67114,11.60639862,0.00050179,0.166564488
CA-HepPh,12008,237010,39.47534977,0.00164371,0.659477009
Gemsec-Facebook-Athletes edges,13866,86858,12.52819847,0.00045176,0.129227029
Gemsec-Facebook-Company,14113,52310,7.413023454,0.000262631,0.153198695
CA-AstroPh,18772,396160,42.20754315,0.001124215,0.318001581
Musae-Facebook,22470,171002,15.22047174,0.000338684,0.232321437
Cit-HepTh,27770,352807,25.40921858,0.000457494,0.119569073
Gemsec-Facebook-New sites,27917,206259,14.77658774,0.000264652,0.113984782
Cit-HepPh,34546,421577,24.4067041,0.000353249,0.145656674
p2p-Gnutella30,36682,88328,4.815876997,6.56E-05,0.005163701
Email-Enron,36692,367662,20.04044478,0.00027309,0.085310796
Deezer-RO,41773,125826,6.024274053,7.21E-05,0.075266704
Deezer-HU,47538,222887,9.377214018,9.86E-05,0.092924018
Gemsec-Facebook-Artist edges,50515,819306,32.43812729,0.000321074,0.05349711
Deezer-HR,54573,498202,18.25818628,0.000167282,0.11463005
p2p-Gnutella31,62586,147892,4.726040968,3.78E-05,0.003872019
Ego-Twitter,81306,2420765,59.5470199,0.000366191,0.170572209
soc-sign-Slashdot090221,82140,549201,13.37231556,8.14E-05,0.023617547
Amazon0302,262111,1234876,9.422542358,1.80E-05,0.236082716
Email-EUAll,265214,420045,3.167592963,5.97E-06,0.004106431
com-DBLP,317080,1049865,6.622082755,1.04E-05,0.306377952
Amazon0312,400727,3200440,15.97316877,1.99E-05,0.16048945
Amazon0601,403394,3387388,16.79443918,2.08E-05,0.165622114
